KOG1059	KOG0936
KOG1059	KOG2740
KOG2740	KOG0936
KOG2740	KOG1060
KOG2740	KOG0936
KOG2740	KOG2740
KOG0936	KOG1060
KOG0936	KOG0936
KOG0936	KOG2740
KOG1060	KOG0936
KOG1060	KOG2740
KOG0936	KOG2740
KOG3667	KOG3667
KOG3667	ENOG502RR4E
KOG3667	ENOG502RR4E
KOG3554	KOG4161
KOG3554	KOG0264
KOG3554	KOG1342
KOG3554	KOG0383
KOG3554	KOG0264
KOG3554	KOG1342
KOG4161	KOG0264
KOG4161	KOG1342
KOG4161	KOG0383
KOG4161	KOG0264
KOG4161	KOG1342
KOG0264	KOG1342
KOG0264	KOG0383
KOG0264	KOG0264
KOG0264	KOG1342
KOG1342	KOG0383
KOG1342	KOG0264
KOG1342	KOG1342
KOG0383	KOG0264
KOG0383	KOG1342
KOG0264	KOG1342
KOG3554	KOG4161
KOG3554	KOG0264
KOG3554	KOG1342
KOG3554	KOG0383
KOG3554	KOG0264
KOG3554	KOG1342
KOG3554	KOG4161
KOG4161	KOG0264
KOG4161	KOG1342
KOG4161	KOG0383
KOG4161	KOG0264
KOG4161	KOG1342
KOG4161	KOG4161
KOG0264	KOG1342
KOG0264	KOG0383
KOG0264	KOG0264
KOG0264	KOG1342
KOG0264	KOG4161
KOG1342	KOG0383
KOG1342	KOG0264
KOG1342	KOG1342
KOG1342	KOG4161
KOG0383	KOG0264
KOG0383	KOG1342
KOG0383	KOG4161
KOG0264	KOG1342
KOG0264	KOG4161
KOG1342	KOG4161
KOG1213	KOG0018
KOG1213	KOG2011
KOG1213	KOG0964
KOG0018	KOG2011
KOG0018	KOG0964
KOG2011	KOG0964
KOG1213	KOG0018
KOG1213	KOG2011
KOG1213	KOG0964
KOG0018	KOG2011
KOG0018	KOG0964
KOG2011	KOG0964
KOG3605	KOG3827
KOG3605	KOG0708
KOG3605	KOG0609
KOG3605	KOG3550
KOG3827	KOG0708
KOG3827	KOG0609
KOG3827	KOG3550
KOG0708	KOG0609
KOG0708	KOG3550
KOG0609	KOG3550
KOG1875	ENOG502QPJD
KOG1875	KOG3575
KOG1875	ENOG502QPZ7
KOG1875	KOG3598
KOG1875	KOG4512
KOG1875	ENOG502QR38
KOG1875	ENOG502QQ3H
ENOG502QPJD	KOG3575
ENOG502QPJD	ENOG502QPZ7
ENOG502QPJD	KOG3598
ENOG502QPJD	KOG4512
ENOG502QPJD	ENOG502QR38
ENOG502QPJD	ENOG502QQ3H
KOG3575	ENOG502QPZ7
KOG3575	KOG3598
KOG3575	KOG4512
KOG3575	ENOG502QR38
KOG3575	ENOG502QQ3H
ENOG502QPZ7	KOG3598
ENOG502QPZ7	KOG4512
ENOG502QPZ7	ENOG502QR38
ENOG502QPZ7	ENOG502QQ3H
KOG3598	KOG4512
KOG3598	ENOG502QR38
KOG3598	ENOG502QQ3H
